Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
8-Oxo-GTP-Detoxification // Metabolic-Clusters	Detoxification	8-oxo-GTP-detoxification	NA	NA	NA	NA	NA	NA
Acetate-Degradation	Degradation/utilization/assimilation	Acetate degradation	NA	NA	NA	NA	NA	NA
Acid-Resistance	Detoxification	Acid resistance	NA	NA	NA	NA	NA	NA
Acid-Resistance // Amino-Acid-Degradation	Detoxification	Acid resistance	Degradation/utilization/assimilation	Amino acid degradation	NA	NA	NA	NA
Acid-Resistance // CARBOXYLATES-DEG	Detoxification	Acid resistance	Degradation/utilization/assimilation	Carboxylic acid degradation	NA	NA	NA	NA
Acid-Resistance // Polyamine-Biosynthesis	Detoxification	Acid resistance	Biosynthesis	"Amide, amidine, amine, and polyamine biosynthesis"	NA	NA	NA	NA
Activation	Metabolite activation/inactivation/interconversion	NA	NA	NA	NA	NA	NA	NA
Activation // Lipid-Biosynthesis	Metabolite activation/inactivation/interconversion	NA	Biosynthesis	Fatty acid and lipid biosynthesis	NA	NA	NA	NA
Alcohol-Degradation	Degradation/utilization/assimilation	Alcohol degradation	NA	NA	NA	NA	NA	NA
Alcohol-Degradation // Carbohydrates-Degradation	Degradation/utilization/assimilation	Alcohol degradation	Degradation/utilization/assimilation	Carbohydrate degradation	NA	NA	NA	NA
Alcohol-Degradation // Carbohydrates-Degradation // Energy-Metabolism	Degradation/utilization/assimilation	Alcohol degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Generation of precursor metabolites and energy	NA	NA	NA
Alcohol-Degradation // Carbohydrates-Degradation // Super-Pathways	Degradation/utilization/assimilation	Alcohol degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways	NA	NA	NA
Alcohol-Degradation // Carbohydrates-Degradation // Super-Pathways // Energy-Metabolism	Degradation/utilization/assimilation	Alcohol degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways	NA	Generation of precursor metabolites and energy	NA
Alcohol-Degradation // Energy-Metabolism	Degradation/utilization/assimilation	Alcohol degradation	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Alcohol-Degradation // Super-Pathways	Degradation/utilization/assimilation	Alcohol degradation	Superpathways	NA	NA	NA	NA	NA
Aldehyde-Degradation	Degradation/utilization/assimilation	Aldehyde degradation	NA	NA	NA	NA	NA	NA
Aldehyde-Degradation // Super-Pathways	Degradation/utilization/assimilation	Aldehyde degradation	Superpathways	NA	NA	NA	NA	NA
AMINE-DEG	Degradation/utilization/assimilation	"Amide, amidine, amine, and polyamine degradation"	NA	NA	NA	NA	NA	NA
AMINE-DEG // Amino-Acid-Degradation // Super-Pathways	Degradation/utilization/assimilation	"Amide, amidine, amine, and polyamine degradation"	Degradation/utilization/assimilation	Amino acid degradation	Superpathways	NA	NA	NA
AMINE-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation/utilization/assimilation	"Amide, amidine, amine, and polyamine degradation"	Degradation/utilization/assimilation	Aromatic compound degradation	NA	NA	NA	NA
